session_slug,track,solver,instance,event_index,elapsed,objective
baseline,XCSP3-2025-COP25,ortools,BlockModeling-kansas-10_c25.xml.lzma,8,29.789271116256714,66.0
baseline,XCSP3-2025-COP25,ortools,BlockModeling-kansas-10_c25.xml.lzma,9,33.60357356071472,60.0
baseline,XCSP3-2025-COP25,ortools,BlockModeling-kansas-10_c25.xml.lzma,10,35.33694338798523,58.0
baseline,XCSP3-2025-COP25,ortools,BlockModeling-kansas-10_c25.xml.lzma,11,35.56293845176697,57.0
baseline,XCSP3-2025-COP25,ortools,BlockModeling-kansas-10_c25.xml.lzma,12,35.721850872039795,55.0
baseline,XCSP3-2025-COP25,ortools,BlockModeling-kansas-10_c25.xml.lzma,13,38.31737685203552,54.0
baseline,XCSP3-2025-COP25,ortools,BlockModeling-kansas-10_c25.xml.lzma,14,40.03020000457764,53.0
baseline,XCSP3-2025-COP25,ortools,BlockModeling-kansas-10_c25.xml.lzma,15,42.95851469039917,50.0
baseline,XCSP3-2025-COP25,ortools,BlockModeling-kansas-10_c25.xml.lzma,16,43.7248055934906,49.0
baseline,XCSP3-2025-COP25,ortools,BlockModeling-kansas-10_c25.xml.lzma,17,43.89369177818298,48.0
baseline,XCSP3-2025-COP25,ortools,BlockModeling-kansas-10_c25.xml.lzma,18,50.599674224853516,47.0
baseline,XCSP3-2025-COP25,ortools,BlockModeling-kansas-10_c25.xml.lzma,19,408.7700581550598,46.0
baseline,XCSP3-2025-COP25,ortools,BlockModeling-kansas-10_c25.xml.lzma,20,531.0941998958588,45.0
baseline,XCSP3-2025-COP25,ortools,BlockModeling-karate-02_c25.xml.lzma,0,2.5243842601776123,78.0
baseline,XCSP3-2025-COP25,ortools,BlockModeling-karate-02_c25.xml.lzma,1,7.618531227111816,77.0
baseline,XCSP3-2025-COP25,ortools,BlockModeling-politicalactor-02_c25.xml.lzma,0,0.3403279781341553,56.0
baseline,XCSP3-2025-COP25,ortools,BlockModeling-politicalactor-02_c25.xml.lzma,1,0.4205818176269531,53.0
baseline,XCSP3-2025-COP25,ortools,BlockModeling-politicalactor-02_c25.xml.lzma,2,0.513676643371582,52.0
baseline,XCSP3-2025-COP25,ortools,BlockModeling-politicalactor-02_c25.xml.lzma,3,0.662966251373291,49.0
baseline,XCSP3-2025-COP25,ortools,BlockModeling-politicalactor-02_c25.xml.lzma,4,0.6663250923156738,44.0
baseline,XCSP3-2025-COP25,ortools,BlockModeling-politicalactor-03_c25.xml.lzma,0,1.0745153427124023,56.0
baseline,XCSP3-2025-COP25,ortools,BlockModeling-politicalactor-03_c25.xml.lzma,1,1.091719388961792,52.0
